date,pond,wf,jeff,spot,newt
4/3/2016,8,0,0,0,0
4/3/2016,9,0,0,0,0
4/3/2016,10,0,0,0,0
4/3/2016,11,0,0,0,0
4/3/2016,18,0,0,0,0
4/3/2016,19,0,0,0,0
4/3/2016,20,0,0,0,0
4/3/2016,21,0,0,0,0
4/4/2016,1,0,0,0,0
4/4/2016,2,0,0,0,0
4/4/2016,3,0,0,0,0
4/4/2016,4,0,0,0,0
4/4/2016,5,0,0,0,0
4/4/2016,6,0,0,0,0
4/4/2016,7,0,0,0,0
4/4/2016,8,0,0,0,0
4/4/2016,9,0,0,0,0
4/4/2016,10,0,0,0,0
4/4/2016,11,0,0,0,0
4/4/2016,18,0,0,0,0
4/4/2016,19,0,0,0,0
4/4/2016,20,0,0,0,0
4/4/2016,21,0,0,0,0
4/5/2016,1,0,0,0,0
4/5/2016,2,0,0,0,0
4/5/2016,3,0,0,0,0
4/5/2016,4,0,0,0,0
4/5/2016,5,0,0,0,0
4/5/2016,6,0,0,0,0
4/5/2016,7,0,0,0,0
4/5/2016,8,0,0,0,0
4/5/2016,9,0,0,0,0
4/5/2016,10,0,0,0,0
4/5/2016,11,0,0,0,0
4/5/2016,18,0,0,0,0
4/5/2016,19,0,0,0,0
4/5/2016,20,0,0,0,0
4/5/2016,21,0,0,0,0
4/6/2016,1,0,0,0,0
4/6/2016,2,0,0,0,0
4/6/2016,3,0,0,0,0
4/6/2016,4,0,0,0,0
4/6/2016,5,0,0,0,0
4/6/2016,6,0,0,0,0
4/6/2016,7,0,0,0,0
4/6/2016,8,0,0,0,0
4/6/2016,9,0,0,0,0
4/6/2016,10,0,0,0,0
4/6/2016,11,0,0,0,0
4/6/2016,18,0,0,0,0
4/6/2016,19,0,0,0,0
4/6/2016,20,0,0,0,0
4/6/2016,21,0,0,0,0
4/7/2016,1,0,0,0,0
4/7/2016,2,0,0,0,0
4/7/2016,3,0,0,0,0
4/7/2016,4,0,0,0,0
4/7/2016,5,0,0,0,0
4/7/2016,6,0,0,0,0
4/7/2016,7,0,0,0,0
4/7/2016,8,0,0,0,0
4/7/2016,9,0,0,0,0
4/7/2016,10,0,0,0,0
4/7/2016,11,0,0,0,0
4/7/2016,18,0,0,0,0
4/7/2016,19,0,0,0,0
4/7/2016,20,0,0,0,0
4/7/2016,21,0,0,0,0
4/8/2016,1,0,0,0,0
4/8/2016,2,0,0,0,0
4/8/2016,3,0,0,1,0
4/8/2016,4,0,1,0,0
4/8/2016,5,0,0,0,0
4/8/2016,6,0,0,4,0
4/8/2016,7,0,1,0,0
4/8/2016,8,0,0,0,0
4/8/2016,9,0,0,1,0
4/8/2016,10,0,2,0,0
4/8/2016,11,1,0,0,0
4/8/2016,18,2,1,2,0
4/8/2016,19,0,1,1,0
4/8/2016,20,0,0,1,0
4/8/2016,21,0,0,2,0
4/9/2016,1,0,0,0,0
4/9/2016,2,0,0,0,0
4/9/2016,3,0,0,0,0
4/9/2016,4,0,0,0,0
4/9/2016,5,0,0,0,0
4/9/2016,6,0,0,0,0
4/9/2016,7,0,0,0,0
4/9/2016,8,0,0,0,0
4/9/2016,9,0,0,0,0
4/9/2016,10,0,1,0,0
4/9/2016,11,0,0,0,0
4/9/2016,18,1,0,1,0
4/9/2016,19,0,0,0,0
4/9/2016,20,0,0,0,0
4/9/2016,21,0,0,2,0
4/10/2016,1,0,0,0,0
4/10/2016,2,0,0,0,0
4/10/2016,3,0,0,0,0
4/10/2016,4,0,0,0,0
4/10/2016,5,0,0,0,0
4/10/2016,6,0,0,0,0
4/10/2016,7,0,0,0,0
4/10/2016,8,0,0,0,0
4/10/2016,9,0,0,0,0
4/10/2016,10,0,0,0,0
4/10/2016,11,0,0,0,0
4/10/2016,18,0,0,0,0
4/10/2016,19,0,0,0,0
4/10/2016,20,0,0,0,0
4/10/2016,21,0,0,0,0
4/11/2016,1,0,0,0,0
4/11/2016,2,0,0,0,0
4/11/2016,3,0,0,0,0
4/11/2016,4,0,0,0,0
4/11/2016,5,0,0,0,0
